package,version,provenance
survival,3.8.3,observed_R_4.4.3_2026-09-12
Hmisc,5.2.3,observed_R_4.4.3_2026-09-12
riskRegression,2023.12.21,observed_R_4.4.3_2026-09-12
prodlim,2025.4.28,observed_R_4.4.3_2026-09-12
jsonlite,2.0.0,observed_R_4.4.3_2026-09-12
digest,0.6.37,observed_R_4.4.3_2026-09-12
processx,3.8.6,observed_R_4.4.3_2026-09-12
ggplot2,4.0.3,observed_R_4.4.3_2026-09-12
patchwork,1.3.2,observed_R_4.4.3_2026-09-12
readxl,1.4.5,observed_R_4.4.3_2026-09-12
scales,1.4.0,observed_R_4.4.3_2026-09-12
ragg,1.4.0,observed_R_4.4.3_2026-09-12
ggrepel,0.9.6,observed_R_4.4.3_2026-09-12
arrow,25.0.1,observed_R_4.4.3_2026-09-12
tidyselect,1.2.1,observed_R_4.4.3_2026-09-12
yaml,2.3.10,observed_R_4.4.3_2026-09-12_new_config_wrapper_dependency
